ChannelKey,ChannelName,Platform,ChannelType,CreatedDate
1,Amazon.in,Amazon,Marketplace,2026-09-06T03:33:58.407448
2,Amazon FBA,Amazon,Marketplace,2026-09-06T03:33:58.407448
3,Non-Amazon,Direct/Other,Direct,2026-09-06T03:33:58.407448
4,International Wholesale B2B,Direct Export,Wholesale B2B,2026-09-06T03:33:58.407448
5,Ajio,Reliance Ajio,Marketplace,2026-09-06T03:33:58.407448
6,Flipkart,Flipkart,Marketplace,2026-09-06T03:33:58.407448
7,Myntra,Myntra,Marketplace,2026-09-06T03:33:58.407448
8,Paytm,Paytm Mall,Marketplace,2026-09-06T03:33:58.407448
9,Snapdeal,Snapdeal,Marketplace,2026-09-06T03:33:58.407448
10,Limeroad,Limeroad,Marketplace,2026-09-06T03:33:58.407448
11,Central Warehouse,Internal WMS,Internal,2026-09-06T03:33:58.407448
