FulfillmentKey,FulfilmentMethod,ShipServiceLevel,CourierStatus,FulfilledBy,CreatedDate
1,Unknown,Standard,Unknown,Unknown,2026-09-06T03:33:58.588985
2,Direct B2B Freight,Standard Freight,Shipped,Internal Logistics,2026-09-06T03:33:58.591987
3,Amazon FBA,Expedited,Cancelled,Amazon FBA,2026-09-06T03:33:58.626403
4,Amazon FBA,Expedited,Shipped,Amazon FBA,2026-09-06T03:33:58.626403
5,Amazon FBA,Expedited,Unshipped,Amazon FBA,2026-09-06T03:33:58.626403
6,Amazon FBA,Standard,Cancelled,Amazon FBA,2026-09-06T03:33:58.626403
7,Amazon FBA,Standard,Shipped,Amazon FBA,2026-09-06T03:33:58.626403
8,Amazon FBA,Standard,Unshipped,Amazon FBA,2026-09-06T03:33:58.626403
9,Merchant Fulfilled,Standard,Shipped,Easy Ship,2026-09-06T03:33:58.626403
10,Merchant Fulfilled,Standard,Unknown,Easy Ship,2026-09-06T03:33:58.626403
11,Merchant Fulfilled,Standard,Unshipped,Easy Ship,2026-09-06T03:33:58.626403
