LocationKey,City,State,PostalCode,Country,Region,CreatedDate
1,UNKNOWN,UNKNOWN,UNKNOWN,IN,India,2026-09-06T03:33:59.010829
2,International,Export,INTERNATIONAL,GLOBAL,International,2026-09-06T03:33:59.013836
3,(CHIKMAGALUR DISTERICT).     (N.R PUR THALUKU),KARNATAKA,577136,IN,South India,2026-09-06T03:33:59.032832
4,.AZAMGARH,UTTAR PRADESH,276001,IN,North India,2026-09-06T03:33:59.032832
5,"ABHAYAPURI, BONGAIGAON",ASSAM,783384,IN,East & North-East,2026-09-06T03:33:59.032832
6,ACHALPUR,MAHARASHTRA,444806,IN,West India,2026-09-06T03:33:59.032832
7,ACHANTA,ANDHRA PRADESH,534123,IN,South India,2026-09-06T03:33:59.032832
8,ADAMPUR,PUNJAB,144102,IN,North India,2026-09-06T03:33:59.032832
9,ADAPUR,BIHAR,845301,IN,East & North-East,2026-09-06T03:33:59.032832
10,ADDAKAL,TELANGANA,509382,IN,South India,2026-09-06T03:33:59.032832
11,ADDANKI MANDAL BAPATL DISTRICT,ANDHRA PRADESH,523201,IN,South India,2026-09-06T03:33:59.032832
12,ADILABAD,TELANGANA,504104,IN,South India,2026-09-06T03:33:59.032832
13,ADIMALY,KERALA,685561,IN,South India,2026-09-06T03:33:59.032832
14,ADINAD,KERALA,690542,IN,South India,2026-09-06T03:33:59.032832
15,ADOOR,KERALA,691551,IN,South India,2026-09-06T03:33:59.032832
16,ADOOR,KERALA,691552,IN,South India,2026-09-06T03:33:59.032832
17,AGARTALA,TRIPURA,799001,IN,Other,2026-09-06T03:33:59.032832
18,AGARTALA,TRIPURA,799008,IN,Other,2026-09-06T03:33:59.032832
19,AGARWADA,GOA,403512,IN,West India,2026-09-06T03:33:59.032832
20,AGRA,UTTAR PRADESH,282002,IN,North India,2026-09-06T03:33:59.032832
21,AGRA,UTTAR PRADESH,283125,IN,North India,2026-09-06T03:33:59.032832
22,AGRA-282001,UTTAR PRADESH,282001,IN,North India,2026-09-06T03:33:59.032832
23,AHMADNAGAR,MAHARASHTRA,414001,IN,West India,2026-09-06T03:33:59.032832
24,AHMADNAGAR,MAHARASHTRA,414111,IN,West India,2026-09-06T03:33:59.032832
25,AHMADNAGAR,MAHARASHTRA,422622,IN,West India,2026-09-06T03:33:59.032832
26,AHMADNAGARA,MAHARASHTRA,414003,IN,West India,2026-09-06T03:33:59.032832
27,AHMDABAD,GUJARAT,380015,IN,West India,2026-09-06T03:33:59.032832
28,AHMEDABAD,GUJARAT,380004,IN,West India,2026-09-06T03:33:59.032832
29,AHMEDABAD,GUJARAT,380018,IN,West India,2026-09-06T03:33:59.032832
30,AHMEDABAD,GUJARAT,380019,IN,West India,2026-09-06T03:33:59.032832
31,AHMEDABAD,GUJARAT,380025,IN,West India,2026-09-06T03:33:59.032832
32,AHMEDABAD,GUJARAT,380026,IN,West India,2026-09-06T03:33:59.032832
33,AHMEDABAD,GUJARAT,380054,IN,West India,2026-09-06T03:33:59.032832
34,AHMEDABAD,GUJARAT,380061,IN,West India,2026-09-06T03:33:59.032832
35,AHMEDABAD,GUJARAT,382415,IN,West India,2026-09-06T03:33:59.032832
36,AHMEDABAD,GUJARAT,382424,IN,West India,2026-09-06T03:33:59.032832
37,AHMEDABAD,GUJARAT,382475,IN,West India,2026-09-06T03:33:59.032832
38,AHMEDABADVASNA,GUJARAT,380007,IN,West India,2026-09-06T03:33:59.032832
39,AHMEDNAGAR,MAHARASHTRA,411003,IN,West India,2026-09-06T03:33:59.032832
40,AHMEDNAGAR,MAHARASHTRA,414001,IN,West India,2026-09-06T03:33:59.032832
41,AHMEDNAGAR,MAHARASHTRA,414002,IN,West India,2026-09-06T03:33:59.032832
42,AIROLI,MAHARASHTRA,400708,IN,West India,2026-09-06T03:33:59.032832
43,AIROLI NAVI MUMBAI,MAHARASHTRA,400708,IN,West India,2026-09-06T03:33:59.032832
44,"AIROLI, NAVIMUMBAI",MAHARASHTRA,400708,IN,West India,2026-09-06T03:33:59.032832
45,AIZAWL,MIZORAM,796001,IN,Other,2026-09-06T03:33:59.032832
