CampaignKey,CampaignName,Platform,ChannelType,TargetKeyword,DeviceType,TargetLocation,SourceSystem,CreatedDate
1,Data Analytics Executive Course,Google Ads,Paid Search,analytics for data,Desktop,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
2,Data Analytics Executive Course,Google Ads,Paid Search,analytics for data,Mobile,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
3,Data Analytics Executive Course,Google Ads,Paid Search,analytics for data,Tablet,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
4,Data Analytics Executive Course,Google Ads,Paid Search,data analitics online,Desktop,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
5,Data Analytics Executive Course,Google Ads,Paid Search,data analitics online,Mobile,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
6,Data Analytics Executive Course,Google Ads,Paid Search,data analitics online,Tablet,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
7,Data Analytics Executive Course,Google Ads,Paid Search,data analytics course,Desktop,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
8,Data Analytics Executive Course,Google Ads,Paid Search,data analytics course,Mobile,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
9,Data Analytics Executive Course,Google Ads,Paid Search,data analytics course,Tablet,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
10,Data Analytics Executive Course,Google Ads,Paid Search,data anaytics training,Desktop,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
11,Data Analytics Executive Course,Google Ads,Paid Search,data anaytics training,Mobile,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
12,Data Analytics Executive Course,Google Ads,Paid Search,data anaytics training,Tablet,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
13,Data Analytics Executive Course,Google Ads,Paid Search,learn data analytics,Desktop,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
14,Data Analytics Executive Course,Google Ads,Paid Search,learn data analytics,Mobile,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
15,Data Analytics Executive Course,Google Ads,Paid Search,learn data analytics,Tablet,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
16,Data Analytics Executive Course,Google Ads,Paid Search,online data analytic,Desktop,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
17,Data Analytics Executive Course,Google Ads,Paid Search,online data analytic,Mobile,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
18,Data Analytics Executive Course,Google Ads,Paid Search,online data analytic,Tablet,Hyderabad,Google Ads Search,2026-09-07T07:47:36.682128
19,Meta Retargeting & Brand Awareness,Meta Ads,Social Feed,Apparel & E-Commerce Shoppers,Mobile & Desktop,Global,Meta Marketing API,2026-09-07T07:47:36.702127
