ProductKey,SKU,SourceSKU,ProductName,StyleCode,Category,SubCategory,Brand,Manufacturer,Size,Color,WeightKg,BaseMRP,TransferPrice,SourceSystem,CreatedDate
1355,JNE3928-KR-L,JNE3928-KR-L,KURTA - JNE3928,JNE3928,KURTA,Apparel,HiLyst Apparel,HiLyst Manufacturing,L,Standard,0.300,568.00,227.20,Amazon India Sales,2026-09-07T07:47:09.415845
1356,J0074-TP-XXL,J0074-TP-XXL,TOP - J0074,J0074,TOP,Apparel,HiLyst Apparel,HiLyst Manufacturing,XXL,Standard,0.300,301.00,120.40,Amazon India Sales,2026-09-07T07:47:09.415845
1357,SET244-KR-NP-XS,SET244-KR-NP-XS,SET - SET244,SET244,SET,Apparel,HiLyst Apparel,HiLyst Manufacturing,XS,Standard,0.300,773.00,309.20,Amazon India Sales,2026-09-07T07:47:09.415845
1358,J0224-SKD-XXXL,J0224-SKD-XXXL,SET - J0224,J0224,SET,Apparel,HiLyst Apparel,HiLyst Manufacturing,3XL,Standard,0.300,1364.00,545.60,Amazon India Sales,2026-09-07T07:47:09.415845
1359,SET347-KR-NP-XS,SET347-KR-NP-XS,SET - SET347,SET347,SET,Apparel,HiLyst Apparel,HiLyst Manufacturing,XS,Standard,0.300,852.00,340.80,Amazon India Sales,2026-09-07T07:47:09.415845
1360,JNE3690-TU-M,JNE3690-TU-M,TOP - JNE3690,JNE3690,TOP,Apparel,HiLyst Apparel,HiLyst Manufacturing,M,Standard,0.300,726.00,290.40,Amazon India Sales,2026-09-07T07:47:09.415845
1361,SET246-KR-PP-XXXL,SET246-KR-PP-XXXL,SET - SET246,SET246,SET,Apparel,HiLyst Apparel,HiLyst Manufacturing,3XL,Standard,0.300,472.00,188.80,Amazon India Sales,2026-09-07T07:47:09.415845
1362,SET195-KR-NP-A-S,SET195-KR-NP-A-S,SET - SET195,SET195,SET,Apparel,HiLyst Apparel,HiLyst Manufacturing,S,Standard,0.300,737.00,294.80,Amazon India Sales,2026-09-07T07:47:09.415845
1363,J0119-TP-S,J0119-TP-S,TOP - J0119,J0119,TOP,Apparel,HiLyst Apparel,HiLyst Manufacturing,S,Standard,0.300,758.00,303.20,Amazon India Sales,2026-09-07T07:47:09.415845
1364,JNE2132-KR-398-XXL,JNE2132-KR-398-XXL,KURTA - JNE2132,JNE2132,KURTA,Apparel,HiLyst Apparel,HiLyst Manufacturing,XXL,Standard,0.300,566.00,226.40,Amazon India Sales,2026-09-07T07:47:09.415845
1365,J0281-SKD-M,J0281-SKD-M,SET - J0281,J0281,SET,Apparel,HiLyst Apparel,HiLyst Manufacturing,M,Standard,0.300,1477.00,590.80,Amazon India Sales,2026-09-07T07:47:09.415845
1366,J0378-SKD-L,J0378-SKD-L,SET - J0378,J0378,SET,Apparel,HiLyst Apparel,HiLyst Manufacturing,L,Standard,0.300,1146.00,458.40,Amazon India Sales,2026-09-07T07:47:09.415845
