SellerKey,SellerID,SellerName,SellerTier,SourceSystem,CreatedDate
1,SELL00002,Marketplace Storefront SELL00002,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
2,SELL00003,Marketplace Storefront SELL00003,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
3,SELL00004,Marketplace Storefront SELL00004,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
4,SELL00005,Marketplace Storefront SELL00005,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
5,SELL00009,Marketplace Storefront SELL00009,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
6,SELL00020,Marketplace Storefront SELL00020,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
7,SELL00021,Marketplace Storefront SELL00021,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
8,SELL00032,Marketplace Storefront SELL00032,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
9,SELL00033,Marketplace Storefront SELL00033,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
10,SELL00034,Marketplace Storefront SELL00034,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
11,SELL00035,Marketplace Storefront SELL00035,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
12,SELL00039,Marketplace Storefront SELL00039,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
13,SELL00042,Marketplace Storefront SELL00042,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
14,SELL00043,Marketplace Storefront SELL00043,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
15,SELL00044,Marketplace Storefront SELL00044,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
16,SELL00045,Marketplace Storefront SELL00045,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
17,SELL00049,Marketplace Storefront SELL00049,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
18,SELL00056,Marketplace Storefront SELL00056,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
19,SELL00076,Marketplace Storefront SELL00076,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
20,SELL00077,Marketplace Storefront SELL00077,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
21,SELL00078,Marketplace Storefront SELL00078,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
22,SELL00086,Marketplace Storefront SELL00086,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
23,SELL00087,Marketplace Storefront SELL00087,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
24,SELL00088,Marketplace Storefront SELL00088,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
25,SELL00090,Marketplace Storefront SELL00090,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
26,SELL00091,Marketplace Storefront SELL00091,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
27,SELL00113,Marketplace Storefront SELL00113,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
28,SELL00114,Marketplace Storefront SELL00114,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
29,SELL00115,Marketplace Storefront SELL00115,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
30,SELL00120,Marketplace Storefront SELL00120,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
31,SELL00121,Marketplace Storefront SELL00121,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
32,SELL00127,Marketplace Storefront SELL00127,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
33,SELL00128,Marketplace Storefront SELL00128,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
34,SELL00129,Marketplace Storefront SELL00129,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
35,SELL00130,Marketplace Storefront SELL00130,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
36,SELL00131,Marketplace Storefront SELL00131,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
37,SELL00136,Marketplace Storefront SELL00136,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
38,SELL00137,Marketplace Storefront SELL00137,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
39,SELL00138,Marketplace Storefront SELL00138,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
40,SELL00139,Marketplace Storefront SELL00139,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
41,SELL00142,Marketplace Storefront SELL00142,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
42,SELL00152,Marketplace Storefront SELL00152,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
43,SELL00153,Marketplace Storefront SELL00153,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
44,SELL00154,Marketplace Storefront SELL00154,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
45,SELL00161,Marketplace Storefront SELL00161,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
46,SELL00168,Marketplace Storefront SELL00168,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
47,SELL00169,Marketplace Storefront SELL00169,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
48,SELL00170,Marketplace Storefront SELL00170,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
49,SELL00174,Marketplace Storefront SELL00174,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
50,SELL00175,Marketplace Storefront SELL00175,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
51,SELL00176,Marketplace Storefront SELL00176,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
52,SELL00200,Marketplace Storefront SELL00200,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
53,SELL00205,Marketplace Storefront SELL00205,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
54,SELL00211,Marketplace Storefront SELL00211,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
55,SELL00226,Marketplace Storefront SELL00226,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
56,SELL00231,Marketplace Storefront SELL00231,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
57,SELL00242,Marketplace Storefront SELL00242,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
58,SELL00243,Marketplace Storefront SELL00243,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
59,SELL00244,Marketplace Storefront SELL00244,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
60,SELL00245,Marketplace Storefront SELL00245,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
61,SELL00249,Marketplace Storefront SELL00249,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
62,SELL00250,Marketplace Storefront SELL00250,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
63,SELL00251,Marketplace Storefront SELL00251,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
64,SELL00261,Marketplace Storefront SELL00261,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
65,SELL00272,Marketplace Storefront SELL00272,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
66,SELL00273,Marketplace Storefront SELL00273,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
67,SELL00274,Marketplace Storefront SELL00274,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
68,SELL00278,Marketplace Storefront SELL00278,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
69,SELL00279,Marketplace Storefront SELL00279,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
70,SELL00290,Marketplace Storefront SELL00290,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
71,SELL00294,Marketplace Storefront SELL00294,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
72,SELL00295,Marketplace Storefront SELL00295,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
73,SELL00306,Marketplace Storefront SELL00306,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
74,SELL00307,Marketplace Storefront SELL00307,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
75,SELL00308,Marketplace Storefront SELL00308,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
76,SELL00322,Marketplace Storefront SELL00322,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
77,SELL00326,Marketplace Storefront SELL00326,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
78,SELL00327,Marketplace Storefront SELL00327,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
79,SELL00328,Marketplace Storefront SELL00328,Gold Seller,Amazon Global,2026-09-07T07:47:36.812128
80,SELL00329,Marketplace Storefront SELL00329,Standard Seller,Amazon Global,2026-09-07T07:47:36.812128
81,SELL00330,Marketplace Storefront SELL00330,Platinum Seller,Amazon Global,2026-09-07T07:47:36.812128
