PricingKey,ProductKey,ChannelKey,EffectiveDateKey,ChannelMRP,TransferPrice,MarginSpreadAmount,MarginSpreadPct,SourceSystem,ETL_LoadedAt
1,813,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
2,812,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
3,811,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
4,814,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
5,809,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
6,810,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
7,914,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
8,913,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
9,912,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
10,915,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
11,910,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
12,911,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
13,849,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
14,848,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
15,847,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
16,850,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
17,845,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
18,846,1,20220501,2295.00,538.00,1757.00,326.58,May 2022 Pricing Master,2026-09-07T07:48:47.421676
