InventoryKey,SnapshotDateKey,ProductKey,StockOnHandQuantity,ReorderThreshold,StockValueAtCost,StockValueAtMRP,SourceSystem,ETL_LoadedAt
1,20220601,1455,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
2,20220601,1459,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
3,20220601,1460,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
4,20220601,1465,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
5,20220601,1467,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
6,20220601,1468,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
7,20220601,1470,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
8,20220601,1478,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
9,20220601,1480,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
10,20220601,1484,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
11,20220601,1490,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
12,20220601,1492,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
13,20220601,1494,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
14,20220601,1496,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
15,20220601,1498,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
16,20220601,1501,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
17,20220601,1507,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
18,20220601,1511,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
19,20220601,1512,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
20,20220601,1516,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
21,20220601,1519,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
22,20220601,1521,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
23,20220601,1523,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
24,20220601,1524,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
25,20220601,1526,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
26,20220601,1528,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
27,20220601,1531,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
28,20220601,1532,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
29,20220601,1540,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
30,20220601,1543,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
31,20220601,1545,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
32,20220601,1547,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
33,20220601,1552,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
34,20220601,1554,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
35,20220601,1560,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
36,20220601,1564,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
37,20220601,1577,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
38,20220601,1582,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
39,20220601,1587,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
40,20220601,1596,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
41,20220601,1619,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
42,20220601,1620,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
43,20220601,1622,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
44,20220601,1624,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
45,20220601,1626,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
46,20220601,1627,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
47,20220601,1637,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
48,20220601,1646,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
49,20220601,1655,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
50,20220601,1663,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
51,20220601,1668,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
52,20220601,1669,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
53,20220601,1674,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
54,20220601,1678,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
55,20220601,1685,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
56,20220601,1691,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
57,20220601,1699,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
58,20220601,1704,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
59,20220601,1709,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
60,20220601,1714,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
