LeadFactKey,CustomerKey,LocationKey,TimeSpentOnSite,EstimatedSalary,HasConverted,LeadQualityTier,SourceSystem,ETL_LoadedAt
1,43622,1,21.30,67168.18,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
2,43754,1,32.98,80711.85,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
3,43540,1,36.50,48317.13,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
4,43834,1,36.30,29354.82,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
5,43779,1,35.58,83064.96,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
6,43787,1,46.53,86554.96,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
7,43683,1,28.71,62057.62,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
8,43893,1,20.95,41098.61,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
9,43874,1,18.93,64980.51,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
10,43552,1,49.56,66154.73,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
11,43509,1,28.37,25933.27,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
12,43436,1,33.62,52347.27,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
13,43517,1,34.19,15638.65,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
14,43814,1,29.46,50882.94,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
15,43792,1,18.18,76635.49,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
16,43440,1,25.60,53630.76,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
17,43716,1,25.25,44756.53,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
18,43719,1,30.19,43821.76,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
19,43632,1,42.77,70651.29,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
20,43674,1,20.99,36171.35,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
21,43426,1,42.64,69262.63,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
22,43888,1,27.40,48026.02,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
23,43741,1,42.49,68054.35,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
24,43575,1,32.20,31284.73,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
25,43767,1,40.70,34281.12,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
26,43709,1,37.53,53040.61,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
27,43635,1,38.61,67135.17,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
28,43471,1,44.89,71840.40,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
29,43797,1,19.25,45527.82,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
30,43513,14473,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
31,43513,14477,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
