MarketingFactKey,DateKey,CampaignKey,ChannelKey,LocationKey,Impressions,Clicks,SpendAmount,LeadsGenerated,ConversionsCount,AttributedSaleAmount,CTR_Pct,CPC_Amount,CostPerLead,CostPerConversion,ROAS,SourceSystem,SourceRecordID,ETL_LoadedAt
1,20241116,13,11,2612,0,0,231.88,0,0,1892.00,0.0000,0.00,0.00,0.00,8.16,Google Ads,A1000,2026-09-07T07:48:42.882130
2,20241120,8,11,2612,0,0,216.84,0,0,1679.00,0.0000,0.00,0.00,0.00,7.74,Google Ads,A1001,2026-09-07T07:48:42.882130
3,20241116,4,11,2612,0,0,203.66,0,0,1624.00,0.0000,0.00,0.00,0.00,7.97,Google Ads,A1002,2026-09-07T07:48:42.882130
4,20241126,12,11,2612,0,0,237.66,0,0,1225.00,0.0000,0.00,0.00,0.00,5.15,Google Ads,A1003,2026-09-07T07:48:42.882130
5,20241122,16,11,2612,0,0,195.90,0,0,1091.00,0.0000,0.00,0.00,0.00,5.57,Google Ads,A1004,2026-09-07T07:48:42.882130
6,20241116,11,11,2612,0,0,243.57,0,0,1315.00,0.0000,0.00,0.00,0.00,5.40,Google Ads,A1005,2026-09-07T07:48:42.882130
7,20241106,9,11,2612,0,0,237.79,0,0,1640.00,0.0000,0.00,0.00,0.00,6.90,Google Ads,A1006,2026-09-07T07:48:42.882130
8,20241124,3,11,2612,0,0,229.61,0,0,1509.00,0.0000,0.00,0.00,0.00,6.57,Google Ads,A1007,2026-09-07T07:48:42.882130
9,20241124,12,11,2612,0,0,0.00,0,0,1362.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1008,2026-09-07T07:48:42.882130
10,20241112,17,11,2612,0,0,186.78,0,0,1029.00,0.0000,0.00,0.00,0.00,5.51,Google Ads,A1009,2026-09-07T07:48:42.882130
11,20241114,13,11,2612,0,0,236.79,0,0,1900.00,0.0000,0.00,0.00,0.00,8.02,Google Ads,A1010,2026-09-07T07:48:42.882130
12,20241122,16,11,2612,0,0,208.12,0,0,1130.00,0.0000,0.00,0.00,0.00,5.43,Google Ads,A1011,2026-09-07T07:48:42.882130
13,20241127,4,11,2612,0,0,191.30,0,0,1959.00,0.0000,0.00,0.00,0.00,10.24,Google Ads,A1012,2026-09-07T07:48:42.882130
14,20241112,11,11,2612,0,0,207.46,0,0,1623.00,0.0000,0.00,0.00,0.00,7.82,Google Ads,A1013,2026-09-07T07:48:42.882130
15,20241104,10,11,2612,0,0,185.09,0,0,1538.00,0.0000,0.00,0.00,0.00,8.31,Google Ads,A1014,2026-09-07T07:48:42.882130
16,20241129,7,11,2612,0,0,201.69,0,0,1755.00,0.0000,0.00,0.00,0.00,8.70,Google Ads,A1015,2026-09-07T07:48:42.882130
17,20241110,14,11,2612,0,0,0.00,0,0,1614.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1016,2026-09-07T07:48:42.882130
18,20241112,14,11,2612,0,0,207.40,0,0,1693.00,0.0000,0.00,0.00,0.00,8.16,Google Ads,A1017,2026-09-07T07:48:42.882130
19,20241107,2,11,2612,0,0,217.41,0,0,1785.00,0.0000,0.00,0.00,0.00,8.21,Google Ads,A1018,2026-09-07T07:48:42.882130
20,20241105,7,11,2612,0,0,0.00,0,0,1516.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1019,2026-09-07T07:48:42.882130
21,20241121,15,11,2612,0,0,223.30,0,0,1735.00,0.0000,0.00,0.00,0.00,7.77,Google Ads,A1020,2026-09-07T07:48:42.882130
22,20241108,6,11,2612,0,0,184.23,0,0,1803.00,0.0000,0.00,0.00,0.00,9.79,Google Ads,A1021,2026-09-07T07:48:42.882130
23,20241120,16,11,2612,0,0,211.24,0,0,1322.00,0.0000,0.00,0.00,0.00,6.26,Google Ads,A1022,2026-09-07T07:48:42.882130
24,20241130,9,11,2612,0,0,230.17,0,0,1452.00,0.0000,0.00,0.00,0.00,6.31,Google Ads,A1023,2026-09-07T07:48:42.882130
25,20241120,15,11,2612,0,0,0.00,0,0,1652.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1024,2026-09-07T07:48:42.882130
26,20241120,15,11,2612,0,0,181.92,0,0,1456.00,0.0000,0.00,0.00,0.00,8.00,Google Ads,A1025,2026-09-07T07:48:42.882130
27,20241102,16,11,2612,0,0,205.92,0,0,1656.00,0.0000,0.00,0.00,0.00,8.04,Google Ads,A1026,2026-09-07T07:48:42.882130
28,20241121,10,11,2612,0,0,234.89,0,0,1688.00,0.0000,0.00,0.00,0.00,7.19,Google Ads,A1027,2026-09-07T07:48:42.882130
29,20241123,14,11,2612,0,0,188.49,0,0,1783.00,0.0000,0.00,0.00,0.00,9.46,Google Ads,A1028,2026-09-07T07:48:42.882130
30,20241113,2,11,2612,0,0,237.75,0,0,1975.00,0.0000,0.00,0.00,0.00,8.31,Google Ads,A1029,2026-09-07T07:48:42.882130
31,20241108,18,11,2612,0,0,213.58,0,0,1590.00,0.0000,0.00,0.00,0.00,7.44,Google Ads,A1030,2026-09-07T07:48:42.882130
32,20241122,16,11,2612,0,0,212.37,0,0,1111.00,0.0000,0.00,0.00,0.00,5.23,Google Ads,A1031,2026-09-07T07:48:42.882130
33,20241112,6,11,2612,0,0,244.38,0,0,1041.00,0.0000,0.00,0.00,0.00,4.26,Google Ads,A1032,2026-09-07T07:48:42.882130
34,20241103,9,11,2612,0,0,234.59,0,0,1710.00,0.0000,0.00,0.00,0.00,7.29,Google Ads,A1033,2026-09-07T07:48:42.882130
35,20241125,8,11,2612,0,0,214.96,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1034,2026-09-07T07:48:42.882130
36,20241101,10,11,2612,0,0,236.48,0,0,1824.00,0.0000,0.00,0.00,0.00,7.71,Google Ads,A1035,2026-09-07T07:48:42.882130
37,20241107,10,11,2612,0,0,242.90,0,0,1833.00,0.0000,0.00,0.00,0.00,7.55,Google Ads,A1036,2026-09-07T07:48:42.882130
38,20241109,14,11,2612,0,0,0.00,0,0,1307.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1037,2026-09-07T07:48:42.882130
39,20241116,17,11,2612,0,0,197.55,0,0,1704.00,0.0000,0.00,0.00,0.00,8.63,Google Ads,A1038,2026-09-07T07:48:42.882130
40,20241126,14,11,2612,0,0,192.61,0,0,1427.00,0.0000,0.00,0.00,0.00,7.41,Google Ads,A1039,2026-09-07T07:48:42.882130
41,20241112,11,11,2612,0,0,231.23,0,0,1849.00,0.0000,0.00,0.00,0.00,8.00,Google Ads,A1040,2026-09-07T07:48:42.882130
42,20241114,4,11,2612,0,0,196.07,0,0,1209.00,0.0000,0.00,0.00,0.00,6.17,Google Ads,A1041,2026-09-07T07:48:42.882130
43,20241109,8,11,2612,0,0,191.55,0,0,1634.00,0.0000,0.00,0.00,0.00,8.53,Google Ads,A1042,2026-09-07T07:48:42.882130
44,20241129,4,11,2612,0,0,180.95,0,0,1960.00,0.0000,0.00,0.00,0.00,10.83,Google Ads,A1043,2026-09-07T07:48:42.882130
45,20241101,12,11,2612,0,0,204.46,0,0,1729.00,0.0000,0.00,0.00,0.00,8.46,Google Ads,A1044,2026-09-07T07:48:42.882130
46,20241115,17,11,2612,0,0,236.78,0,0,1585.00,0.0000,0.00,0.00,0.00,6.69,Google Ads,A1045,2026-09-07T07:48:42.882130
47,20241111,10,11,2612,0,0,222.98,0,0,1303.00,0.0000,0.00,0.00,0.00,5.84,Google Ads,A1046,2026-09-07T07:48:42.882130
48,20241108,2,11,2612,0,0,234.10,0,0,1835.00,0.0000,0.00,0.00,0.00,7.84,Google Ads,A1047,2026-09-07T07:48:42.882130
49,20241124,17,11,2612,0,0,240.84,0,0,1367.00,0.0000,0.00,0.00,0.00,5.68,Google Ads,A1048,2026-09-07T07:48:42.882130
50,20241121,14,11,2612,0,0,248.86,0,0,1524.00,0.0000,0.00,0.00,0.00,6.12,Google Ads,A1049,2026-09-07T07:48:42.882130
51,20241112,2,11,2612,0,0,182.84,0,0,1080.00,0.0000,0.00,0.00,0.00,5.91,Google Ads,A1050,2026-09-07T07:48:42.882130
52,20241124,3,11,2612,0,0,206.62,0,0,1746.00,0.0000,0.00,0.00,0.00,8.45,Google Ads,A1051,2026-09-07T07:48:42.882130
53,20241125,17,11,2612,0,0,189.56,0,0,1026.00,0.0000,0.00,0.00,0.00,5.41,Google Ads,A1052,2026-09-07T07:48:42.882130
54,20241126,15,11,2612,0,0,187.66,0,0,1564.00,0.0000,0.00,0.00,0.00,8.33,Google Ads,A1053,2026-09-07T07:48:42.882130
55,20241126,13,11,2612,0,0,196.15,0,0,1902.00,0.0000,0.00,0.00,0.00,9.70,Google Ads,A1054,2026-09-07T07:48:42.882130
56,20241105,4,11,2612,0,0,183.68,0,0,1267.00,0.0000,0.00,0.00,0.00,6.90,Google Ads,A1055,2026-09-07T07:48:42.882130
