ProductKey,SKU,ProductName,Category,BaseMRP,TransferPrice,AmazonMRP,MyntraMRP,AjioMRP,FlipkartMRP,LimeroadMRP,PaytmMRP,SnapdealMRP,MaxCrossChannelSpreadAmount,ArbitrageSpreadPct
1234,OS294KR_2XL,KURTA - OS294KR (MIX),KURTA,2095.00,410.00,2095.00,2095.00,2095.00,2095.00,2095.00,2095.00,2095.00,0.00,0E-15
23,IVORY_1426_XL,NILL - IVORY_1426 (NILL),NILL,2494.00,818.00,2494.00,2494.00,2494.00,2494.00,2494.00,2494.00,2494.00,0.00,0E-15
687,OS185_1105_2XL,KURTA - OS185_1105 (MIX),KURTA,2138.00,529.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
355,OS122_1736_S,KURTA - OS122_1736 (MIX),KURTA,1895.00,471.00,1895.00,1895.00,1895.00,1895.00,1995.00,1895.00,1895.00,100.00,5.280000000000000
902,OS221_S,KURTA - OS221 (MIX),KURTA,1795.00,425.00,1695.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,100.00,5.900000000000000
215,OS1097_3XL,KURTA SET - OS1097 (SURMAYA),KURTA SET,1895.00,825.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
1042,OS264_2XL,KURTA - OS264 (MIX),KURTA,1895.00,410.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
378,OS127_M,KURTA - OS127 (MIX),KURTA,1995.00,425.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,0.00,0E-15
1211,OS290_3XL,KURTA SET - OS290 (MIX),KURTA SET,3195.00,625.00,3195.00,3195.00,3195.00,3195.00,3195.00,3195.00,3195.00,0.00,0E-15
710,OS188_5042_XL,KURTA - OS188_5042 (COLORS-7),KURTA,1538.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
547,OS162_2XL,KURTA - OS162 (MIX),KURTA,1695.00,424.00,1695.00,1695.00,1695.00,1695.00,1795.00,1895.00,1695.00,200.00,11.800000000000000
46,OS103_4171_3XL,KURTA - OS103_4171 (MIX),KURTA,1995.00,500.00,1995.00,1995.00,1995.00,1995.00,2095.00,1995.00,2095.00,100.00,5.010000000000000
879,OS217_5071_XL,KURTA - OS217_5071 (MIX),KURTA,1695.00,424.00,1695.00,1695.00,1695.00,1695.00,1795.00,1695.00,1695.00,100.00,5.900000000000000
856,OS214_3144_2XL,KURTA - OS214_3144 (MOMENTS),KURTA,2178.00,538.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
