DateKey,FullDate,YearNumber,MonthNumber,MonthName,FinancialQuarter,FinancialYear,DayName,IsWeekend,TotalOrders,ValidOrders,CancelledOrders,TotalUnits,ValidUnits,GrossMerchandiseValue,NetRevenue,DeliveredRevenue,CancelledRevenue,ReturnedRevenue,EstimatedTotalCOGS,EstimatedGrossProfit,AverageOrderValue,CancellationRatePct,EstimatedGrossMarginPct
20220401,2022-04-01,2022,4,April,FQ1,FY22-23,Friday,False,22724,22502,222,49797,49713,4780870.90,4682696.55,4036183.95,86739.35,13538.62,3754602.21,915106.36,208.100000,0.98,19.140000
20220520,2022-05-20,2022,5,May,FQ1,FY22-23,Friday,False,1087,945,142,1135,1100,745256.54,680012.66,308228.30,65243.88,17207.24,306671.87,373340.83,719.590000,13.06,50.100000
20220509,2022-05-09,2022,5,May,FQ1,FY22-23,Monday,False,1268,1093,175,1349,1293,849455.59,771079.61,273525.94,78375.98,22766.80,341159.03,429920.59,705.470000,13.8,50.610000
20220629,2022-06-29,2022,6,June,FQ1,FY22-23,Wednesday,False,659,628,31,805,805,462371.40,461266.64,42379.22,1104.76,1265.15,207866.16,253400.62,734.500000,4.7,54.800000
20230720,2023-07-20,2023,7,July,FQ2,FY23-24,Thursday,False,68,67,1,196,194,58201.05,57071.36,49404.50,1129.69,1610.11,30951.51,26119.86,851.810000,1.47,44.880000
20221030,2022-10-30,2022,10,October,FQ3,FY22-23,Sunday,True,57,56,1,183,180,52875.68,52505.51,39478.92,370.17,554.83,29112.49,23393.05,937.600000,1.75,44.240000
20230925,2023-09-25,2023,9,September,FQ2,FY23-24,Monday,False,62,57,5,188,171,54729.64,49885.40,37434.74,4844.24,865.39,26347.82,23537.68,875.180000,8.06,43.010000
20230227,2023-02-27,2023,2,February,FQ4,FY22-23,Monday,False,69,65,4,191,179,59460.77,54300.95,36766.44,5159.82,869.22,29742.97,24558.15,835.400000,5.8,41.300000
20220316,2022-03-16,2022,3,March,FQ4,FY21-22,Wednesday,False,59,57,2,185,183,64608.52,64126.82,55030.66,481.70,0.00,35101.87,29024.84,1125.030000,3.39,44.920000
20231128,2023-11-28,2023,11,November,FQ3,FY23-24,Tuesday,False,53,53,0,152,152,48498.89,48498.89,40864.82,0.00,0.00,26829.72,21669.26,915.070000,0.0,44.680000
