Country,State,City,Region,TotalOrders,TotalUnitsSold,GrossRevenue,NetRevenue,GlobalRevenueSharePct
IN,KERALA,PAVARATTY,India,7,7,3888.95,3188.00,0.000000
IN,UTTAR PRADESH,TILHAR,India,2,2,1801.00,1801.00,0.000000
IN,KERALA,"PERUMCHERY  POST, THRISSUR",India,1,3,1497.00,1497.00,0.000000
IN,KERALA,PAPPINISSERI,India,1,1,329.00,329.00,0.000000
IN,WEST BENGAL,NABADWIP,India,17,14,7893.00,7110.00,0.000000
IN,WEST BENGAL,AHMADPUR,India,2,2,1079.00,1079.00,0.000000
IN,ASSAM,NAHARKATIYA,India,2,2,1246.00,1246.00,0.000000
IN,TAMIL NADU,AMBUR,India,19,17,11107.00,8892.00,0.010000
IN,DADRA AND NAGAR,SILVASSA(KILVANI NAKA),India,1,1,499.00,499.00,0.000000
IN,MAHARASHTRA,ELLORA,India,2,2,760.00,380.00,0.000000
IN,ANDHRA PRADESH,CHIRALA,India,20,25,16067.00,16067.00,0.010000
IN,GOA,"CALANGUTE, BARDEZ",India,2,2,1271.00,1271.00,0.000000
IN,ANDHRA PRADESH,KALYANDURG,India,2,2,993.00,993.00,0.000000
IN,UTTAR PRADESH,MIRZAPUR CUM VINDHYACHAL,India,21,17,10719.24,9687.00,0.010000
IN,MAHARASHTRA,DOMBIVALI WEST,India,3,2,2157.29,1523.00,0.000000
IN,UTTAR PRADESH,KALPI,India,4,3,1599.00,1599.00,0.000000
IN,TAMIL NADU,THIRUTHANGAL,India,4,4,2012.00,1467.00,0.000000
IN,MAHARASHTRA,DAHANU,India,14,10,6553.00,6553.00,0.000000
IN,GOA,MAJORDA,India,3,2,1170.00,1170.00,0.000000
IN,KERALA,THAZHAKARA,India,1,1,442.00,442.00,0.000000
IN,UTTAR PRADESH,"GHAZIABAD,SAHIBABAD",India,1,1,788.00,788.00,0.000000
IN,ANDHRA PRADESH,MARKAPUR,India,9,10,7280.76,6676.00,0.000000
IN,TAMIL NADU,"PALAYAMKOTTAI, TIRUNELVELI",India,2,2,1438.00,1438.00,0.000000
IN,UTTARAKHAND,HARDWAR,India,4,4,3204.00,3204.00,0.000000
IN,HIMACHAL PRADESH,AMB,India,3,1,1975.90,574.00,0.000000
IN,GUJARAT,ANKLESHWR,India,3,3,1689.00,1689.00,0.000000
IN,KERALA,KOZHIKODE,India,218,208,135617.10,118726.00,0.060000
IN,KERALA,VAKKOM,India,4,4,1862.00,1862.00,0.000000
IN,GOA,CANSAULIM,India,2,2,866.00,866.00,0.000000
IN,RAJASTHAN,KHETRI NAGAR,India,1,1,597.00,597.00,0.000000
UNITED KINGDOM,TX,FORT WORTH,Europe,218,640,191854.32,189038.49,0.090000
IN,ANDHRA PRADESH,AMALAPURAM,India,19,20,10240.00,10240.00,0.000000
IN,BIHAR,NTPC BARH TOWNSHIP,India,2,2,1234.00,1234.00,0.000000
