ProductKey,SKU,ProductName,Category,BaseMRP,TransferPrice,StockOnHand,ReorderThreshold,CapitalTiedUpAtCost,InventoryRetailValue,TotalHistoricalUnitsSold,InventoryHealthStatus
1333,SET273-KR-NP-XXXL,SET - SET273,SET,612.00,244.80,0,10,0.00,0.00,10,Out of Stock (Margin Loss)
1334,J0386-KR-XXXL,KURTA - J0386,KURTA,967.00,386.80,0,10,0.00,0.00,6,Out of Stock (Margin Loss)
1335,SET375-KR-NP-L,SET - SET375,SET,696.00,278.40,0,10,0.00,0.00,28,Out of Stock (Margin Loss)
1336,JNE2100-KR-144-L,KURTA - JNE2100,KURTA,382.00,152.80,0,10,0.00,0.00,45,Out of Stock (Margin Loss)
1337,SET350-KR-NP-M,SET - SET350,SET,1324.00,529.60,0,10,0.00,0.00,49,Out of Stock (Margin Loss)
1338,JNE3684-TU-XS,TOP - JNE3684,TOP,319.00,127.60,0,10,0.00,0.00,10,Out of Stock (Margin Loss)
1339,SET128-KR-DH-XS,SET - SET128,SET,1147.00,458.80,0,10,0.00,0.00,7,Out of Stock (Margin Loss)
1340,JNE3654-TP-XL,TOP - JNE3654,TOP,443.00,177.20,0,10,0.00,0.00,57,Out of Stock (Margin Loss)
1341,J0336-TP-M,TOP - J0336,TOP,925.00,370.00,0,10,0.00,0.00,36,Out of Stock (Margin Loss)
1342,JNE3606-KR-L,KURTA - JNE3606,KURTA,487.00,194.80,0,10,0.00,0.00,20,Out of Stock (Margin Loss)
1343,SET238-KR-PP-XL,SET - SET238,SET,477.00,190.80,0,10,0.00,0.00,18,Out of Stock (Margin Loss)
1344,J0249-SKD-XXL,SET - J0249,SET,939.00,375.60,0,10,0.00,0.00,15,Out of Stock (Margin Loss)
1345,SET317-KR-PP-XS,SET - SET317,SET,1201.00,480.40,0,10,0.00,0.00,14,Out of Stock (Margin Loss)
1346,JNE3896-KR-XXL,KURTA - JNE3896,KURTA,582.00,232.80,0,10,0.00,0.00,0,Out of Stock (Margin Loss)
1347,SET131-KR-NP-XXL,SET - SET131,SET,666.00,266.40,0,10,0.00,0.00,12,Out of Stock (Margin Loss)
1348,J0078-SET-XXXL,SET - J0078,SET,947.00,378.80,0,10,0.00,0.00,3,Out of Stock (Margin Loss)
1349,SET363-KR-NP-L,SET - SET363,SET,1354.00,541.60,0,10,0.00,0.00,41,Out of Stock (Margin Loss)
1350,JNE3633-KR-L,KURTA - JNE3633,KURTA,459.00,183.60,0,10,0.00,0.00,21,Out of Stock (Margin Loss)
1351,SET273-KR-NP-XS,SET - SET273,SET,612.00,244.80,0,10,0.00,0.00,53,Out of Stock (Margin Loss)
1352,SET224-KR-NP-XL,SET - SET224,SET,1299.00,519.60,0,10,0.00,0.00,16,Out of Stock (Margin Loss)
1353,J0249-SKD-XL,SET - J0249,SET,939.00,375.60,0,10,0.00,0.00,11,Out of Stock (Margin Loss)
1354,JNE3740-KR-XS,KURTA - JNE3740,KURTA,319.00,127.60,0,10,0.00,0.00,1,Out of Stock (Margin Loss)
1524,JNE3612-KR-XXXL,KURTA - JNE3612,KURTA,399.00,159.60,0,10,0.00,0.00,8,Out of Stock (Margin Loss)
1525,JNE3708-TU-L,TOP - JNE3708,TOP,749.00,299.60,0,10,0.00,0.00,13,Out of Stock (Margin Loss)
1526,JNE3684-TU-XXXL,TOP - JNE3684,TOP,315.00,126.00,0,10,0.00,0.00,9,Out of Stock (Margin Loss)
1527,BL098-S,BLOUSE - BL098,BLOUSE,372.00,148.80,0,10,0.00,0.00,5,Out of Stock (Margin Loss)
1528,J0429-DR-XL,WESTERN DRESS - J0429,WESTERN DRESS,859.00,343.60,0,10,0.00,0.00,1,Out of Stock (Margin Loss)
1529,J0158-DR-S,WESTERN DRESS - J0158,WESTERN DRESS,1091.00,436.40,0,10,0.00,0.00,13,Out of Stock (Margin Loss)
1530,J0245-SKD-S,SET - J0245,SET,1249.00,499.60,0,10,0.00,0.00,7,Out of Stock (Margin Loss)
1531,J0328-KR-XS,KURTA - J0328,KURTA,939.00,375.60,0,10,0.00,0.00,11,Out of Stock (Margin Loss)
1532,J0151-KR-XXL,KURTA - J0151,KURTA,499.00,199.60,0,10,0.00,0.00,10,Out of Stock (Margin Loss)
1533,JNE3819-KR-XXXL,KURTA - JNE3819,KURTA,499.00,199.60,0,10,0.00,0.00,7,Out of Stock (Margin Loss)
1534,JNE3311-KR-XL,KURTA - JNE3311,KURTA,599.00,239.60,0,10,0.00,0.00,10,Out of Stock (Margin Loss)
1535,AN213-BROWN-S,BOTTOM - AN213,BOTTOM,301.00,120.40,0,10,0.00,0.00,8,Out of Stock (Margin Loss)
1536,JNE3452-KR-S,KURTA - JNE3452,KURTA,301.00,120.40,0,10,0.00,0.00,3,Out of Stock (Margin Loss)
1537,J0145-SET-L,SET - J0145,SET,493.00,197.20,0,10,0.00,0.00,5,Out of Stock (Margin Loss)
1538,JNE3750-KR-XXXL,KURTA - JNE3750,KURTA,511.00,204.40,0,10,0.00,0.00,15,Out of Stock (Margin Loss)
1539,JNE3777-KR-L,KURTA - JNE3777,KURTA,399.00,159.60,0,10,0.00,0.00,5,Out of Stock (Margin Loss)
1540,JNE3606-KR-XL,KURTA - JNE3606,KURTA,487.00,194.80,0,10,0.00,0.00,11,Out of Stock (Margin Loss)
1541,NW001-TP-PJ-S,SET - NW001,SET,563.00,225.20,0,10,0.00,0.00,10,Out of Stock (Margin Loss)
1542,JNE2170-KR-436-XL,KURTA - JNE2170,KURTA,612.00,244.80,0,10,0.00,0.00,21,Out of Stock (Margin Loss)
1543,JNE3780-KR-XL,KURTA - JNE3780,KURTA,325.00,130.00,0,10,0.00,0.00,10,Out of Stock (Margin Loss)
1544,J0401-DR-L,WESTERN DRESS - J0401,WESTERN DRESS,1168.00,467.20,0,10,0.00,0.00,17,Out of Stock (Margin Loss)
1545,MEN5014-KR-XXL,KURTA - MEN5014,KURTA,665.00,266.00,0,10,0.00,0.00,18,Out of Stock (Margin Loss)
1546,SET353-KR-NP-XS,SET - SET353,SET,888.00,355.20,0,10,0.00,0.00,5,Out of Stock (Margin Loss)
1547,J0172-TP-XS,TOP - J0172,TOP,499.00,199.60,0,10,0.00,0.00,3,Out of Stock (Margin Loss)
1741,SET340-KR-NP-M,SET - SET340,SET,799.00,319.60,0,10,0.00,0.00,10,Out of Stock (Margin Loss)
1742,SET389-KR-NP-XL,SET - SET389,SET,680.00,272.00,0,10,0.00,0.00,55,Out of Stock (Margin Loss)
1743,JNE3806-KR-L,KURTA - JNE3806,KURTA,549.00,219.60,0,10,0.00,0.00,21,Out of Stock (Margin Loss)
1744,JNE3673-TU-L,TOP - JNE3673,TOP,599.00,239.60,0,10,0.00,0.00,15,Out of Stock (Margin Loss)
1745,SET328-KR-NP-L,SET - SET328,SET,635.00,254.00,0,10,0.00,0.00,69,Out of Stock (Margin Loss)
1746,J0179-KR-S,KURTA - J0179,KURTA,696.00,278.40,0,10,0.00,0.00,12,Out of Stock (Margin Loss)
1747,J0133-KR-XS,KURTA - J0133,KURTA,381.00,152.40,0,10,0.00,0.00,2,Out of Stock (Margin Loss)
1748,J0251-SKD-S,SET - J0251,SET,763.00,305.20,0,10,0.00,0.00,3,Out of Stock (Margin Loss)
1749,J0283-SET-S,SET - J0283,SET,1072.00,428.80,0,10,0.00,0.00,15,Out of Stock (Margin Loss)
1750,SET324-KR-NP-M,SET - SET324,SET,699.00,279.60,0,10,0.00,0.00,250,Out of Stock (Margin Loss)
1751,MEN5009-KR-S,KURTA - MEN5009,KURTA,709.00,283.60,0,10,0.00,0.00,49,Out of Stock (Margin Loss)
1752,BL113-S,BLOUSE - BL113,BLOUSE,493.00,197.20,0,10,0.00,0.00,8,Out of Stock (Margin Loss)
1753,J0349-SET-XS,SET - J0349,SET,888.00,355.20,0,10,0.00,0.00,61,Out of Stock (Margin Loss)
1754,JNE3479-KR-M,KURTA - JNE3479,KURTA,301.00,120.40,0,10,0.00,0.00,26,Out of Stock (Margin Loss)
1755,JNE3429-KR-M,KURTA - JNE3429,KURTA,318.00,127.20,0,10,0.00,0.00,14,Out of Stock (Margin Loss)
1756,J0171-DR-L,WESTERN DRESS - J0171,WESTERN DRESS,489.00,195.60,0,10,0.00,0.00,10,Out of Stock (Margin Loss)
1757,BTM002-S,BOTTOM - BTM002,BOTTOM,518.00,207.20,0,10,0.00,0.00,18,Out of Stock (Margin Loss)
